out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment
cheaqpso4,mon,kg m-2 s-1,,,c,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
chegpso4,mon,kg m-2 s-1,,,c,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
chepsoa,mon,kg m-2 s-1,,,c,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concbc,mon,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concdust,mon,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concnh4,mon,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concno3,mon,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concoa,mon,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concso4,mon,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concss,mon,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
abs1000bc,day,1,,,area mean time: point,TIER 2,
abs1000dust,day,1,,,area mean time: point,TIER 2,
abs1000nh4,day,1,,,area mean time: point,TIER 2,
abs1000no3,day,1,,,area mean time: point,TIER 2,
abs1000oa,day,1,,,area mean time: point,TIER 2,
abs1000so4,day,1,,,area mean time: point,TIER 2,
abs1000ss,day,1,,,area mean time: point,TIER 2,
abs350bc,day,1,,,area mean time: point,TIER 2,
abs350dust,day,1,,,area mean time: point,TIER 2,
abs350nh4,day,1,,,area mean time: point,TIER 2,
abs350no3,day,1,,,area mean time: point,TIER 2,
abs350oa,day,1,,,area mean time: point,TIER 2,
abs350so4,day,1,,,area mean time: point,TIER 2,
abs350ss,day,1,,,area mean time: point,TIER 2,
abs440bc,day,1,,,area mean time: point,TIER 2,
abs440dust,day,1,,,area mean time: point,TIER 2,
abs440nh4,day,1,,,area mean time: point,TIER 2,
abs440no3,day,1,,,area mean time: point,TIER 2,
abs440oa,day,1,,,area mean time: point,TIER 2,
abs440so4,day,1,,,area mean time: point,TIER 2,
abs440ss,day,1,,,area mean time: point,TIER 2,
abs550bc,day,1,,,area mean time: point,TIER 2,
abs550dust,day,1,,,area mean time: point,TIER 2,
abs550nh4,day,1,,,area mean time: point,TIER 2,
abs550no3,day,1,,,area mean time: point,TIER 2,
abs550oa,day,1,,,area mean time: point,TIER 2,
abs550so4,day,1,,,area mean time: point,TIER 2,
abs550ss,day,1,,,area mean time: point,TIER 2,
abs870bc,day,1,,,area mean time: point,TIER 2,
abs870dust,day,1,,,area mean time: point,TIER 2,
abs870nh4,day,1,,,area mean time: point,TIER 2,
abs870no3,day,1,,,area mean time: point,TIER 2,
abs870oa,day,1,,,area mean time: point,TIER 2,
abs870so4,day,1,,,area mean time: point,TIER 2,
abs870ss,day,1,,,area mean time: point,TIER 2,
od1000bc,day,1,,,area mean time: point,TIER 2,
od1000dust,day,1,,,area mean time: point,TIER 2,
od1000nh4,day,1,,,area mean time: point,TIER 2,
od1000no3,day,1,,,area mean time: point,TIER 2,
od1000oa,day,1,,,area mean time: point,TIER 2,
od1000so4,day,1,,,area mean time: point,TIER 2,
od1000ss,day,1,,,area mean time: point,TIER 2,
od350bc,day,1,,,area mean time: point,TIER 2,
od350dust,day,1,,,area mean time: point,TIER 2,
od350nh4,day,1,,,area mean time: point,TIER 2,
od350no3,day,1,,,area mean time: point,TIER 2,
od350oa,day,1,,,area mean time: point,TIER 2,
od350so4,day,1,,,area mean time: point,TIER 2,
od350ss,day,1,,,area mean time: point,TIER 2,
od440bc,day,1,,,area mean time: point,TIER 2,
od440dust,day,1,,,area mean time: point,TIER 2,
od440nh4,day,1,,,area mean time: point,TIER 2,
od440no3,day,1,,,area mean time: point,TIER 2,
od440oa,day,1,,,area mean time: point,TIER 2,
od440so4,day,1,,,area mean time: point,TIER 2,
od440ss,day,1,,,area mean time: point,TIER 2,
od870bc,day,1,,,area mean time: point,TIER 2,
od870dust,day,1,,,area mean time: point,TIER 2,
od870nh4,day,1,,,area mean time: point,TIER 2,
od870no3,day,1,,,area mean time: point,TIER 2,
od870oa,day,1,,,area mean time: point,TIER 2,
od870so4,day,1,,,area mean time: point,TIER 2,
od870ss,day,1,,,area mean time: point,TIER 2,
chepnh4,day,kg m-2 s-1,,,c,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
chepno3,day,kg m-2 s-1,,,c,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
cheaqpso4,day,kg m-2 s-1,,,c,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
chegpso4,day,kg m-2 s-1,,,c,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
chepsoa,day,kg m-2 s-1,,,c,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concbc,day,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concdust,day,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concnh4,day,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concno3,day,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concoa,day,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concso4,day,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
concss,day,kg m-3,,,area mean time: point,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
