out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment
sconcso4,1hr,kg m-3,Surface Concentration of Sulfate,mass_concentration_of_sulfate_dry_aerosol_particles_in_air,area: mean time: point,TIER1,
sconcsoa,mon,kg m-3,Surface Concentration of Secondary Organic Aerosol,mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcsoa,day,kg m-3,Surface Concentration of Secondary Organic Aerosol,mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcsoa,1hr,kg m-3,Surface Concentration of Secondary Organic Aerosol,mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_particles_in_air,area: mean time: point,TIER1,
sconcss,mon,kg m-3,Surface Concentration of Sea-Salt Aerosol,mass_concentration_of_sea_salt_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcss,day,kg m-3,Surface Concentration of Sea-Salt Aerosol,mass_concentration_of_sea_salt_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcss,1hr,kg m-3,Surface Concentration of Sea-Salt Aerosol,mass_concentration_of_sea_salt_dry_aerosol_particles_in_air,area: mean time: point,TIER1,
sedbc,mon,kg m-2 s-1,Sedimentation Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedbc,day,kg m-2 s-1,Sedimentation Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedbc,1hr,kg m-2 s-1,Sedimentation Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
seddust,mon,kg m-2 s-1,Sedimentation Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
seddust,day,kg m-2 s-1,Sedimentation Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
seddust,1hr,kg m-2 s-1,Sedimentation Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sednh4,mon,kg m-2 s-1,Sedimentation Rate of Ammonium,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sednh4,day,kg m-2 s-1,Sedimentation Rate of Ammonium,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sednh4,1hr,kg m-2 s-1,Sedimentation Rate of Ammonium,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedno3,mon,kg m-2 s-1,Sedimentation Rate of Nitrate,tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedno3,day,kg m-2 s-1,Sedimentation Rate of Nitrate,tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedno3,1hr,kg m-2 s-1,Sedimentation Rate of Nitrate,tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedoa,mon,kg m-2 s-1,Sedimentation Rate of Organic Matter,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedoa,day,kg m-2 s-1,Sedimentation Rate of Organic Matter,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedoa,1hr,kg m-2 s-1,Sedimentation Rate of Organic Matter,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedso4,mon,kg m-2 s-1,Sedimentation Rate of Sulfate,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedso4,day,kg m-2 s-1,Sedimentation Rate of Sulfate,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedso4,1hr,kg m-2 s-1,Sedimentation Rate of Sulfate,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedss,mon,kg m-2 s-1,Sedimentation Rate of Sea-Salt,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedss,day,kg m-2 s-1,Sedimentation Rate of Sea-Salt,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
sedss,1hr,kg m-2 s-1,Sedimentation Rate of Sea-Salt,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,only if sedimentation is applied for this aerosol
ssa1000aer,mon,1,Aerosol Single Scattering Albedo at 1000 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
ssa1000aer,day,1,Aerosol Single Scattering Albedo at 1000 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
ssa1000aer,3hr,1,Aerosol Single Scattering Albedo at 1000 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
ssa350aer,mon,1,Aerosol Single Scattering Albedo at 350 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
ssa350aer,day,1,Aerosol Single Scattering Albedo at 350 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
ssa350aer,3hr,1,Aerosol Single Scattering Albedo at 350 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
ssa440aer,mon,1,Aerosol Single Scattering Albedo at 440 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
ssa440aer,day,1,Aerosol Single Scattering Albedo at 440 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
ssa440aer,3hr,1,Aerosol Single Scattering Albedo at 440 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
ssa870aer,mon,1,Aerosol Single Scattering Albedo at 870 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
ssa870aer,day,1,Aerosol Single Scattering Albedo at 870 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
ssa870aer,3hr,1,Aerosol Single Scattering Albedo at 870 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
wetbc,mon,kg m-2 s-1,Wet Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_wet_deposition,area: time: mean,TIER1,
wetbc,day,kg m-2 s-1,Wet Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_wet_deposition,area: time: mean,TIER1,
wetbc,1hr,kg m-2 s-1,Wet Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_wet_deposition,area: time: mean,TIER1,
wetdust,mon,kg m-2 s-1,Wet Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_wet_deposition,area: time: mean,TIER1,
wetdust,day,kg m-2 s-1,Wet Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_wet_deposition,area: time: mean,TIER1,
wetdust,1hr,kg m-2 s-1,Wet Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_wet_deposition,area: time: mean,TIER1,
